Артикул	Наименование 	UnitId	Стоимость	Размер максимально возможной скидки	ManufacturerId	SupplierId	Категория товара	Действующая скидка	Кол-во на складе	Описание	Изображение
U947E9	Муслин белый горошек на однотонном фоне	1	3411	10	2	1	1	3	4	Муслин белый горошек на однотонном фоне шириной 150 см с изображением на ткани — мелкий горошек; цветовая гамма: желтая.	
H497J3	Ситец детский	1	523	5	1	1	1	2	8	Ситец детский шириной 95 см с изображением на ткани — котята, сердечки; цветовая гамма: белоземельная, оранжевый.	
N394K2	Ткань поплин «Лакшери»	1	30660	10	2	2	2	4	15	Ткань поплин «Лакшери» шириной 220 см с изображением на ткани — надписи, сердечки; цветовая гамма: белая, красная, черная. 	
P495H8	Поплин «Густав»	1	1000	15	3	3	2	2	14	Поплин «Густав» шириной 220 см с изображением на ткани — листья, папортник; цветовая гамма: зеленая, светло-серая.	
X846D3	Ситец детский	1	9300	25	2	3	1	3	5	Ситец детский шириной 95 см с изображением на ткани — жираф, полумесяц, пчелки; цветовая гамма: темно-фиолетовая.	
N385L2	Сатин «Фисташковый» однотонный	1	7000	20	1	1	2	2	2	Сатин «Фисташковый» однотонный шириной 250 см с изображением на ткани цветовая гамма: фисташка.	
V378J3	Ситец детский	1	2400	15	3	1	1	3	14	Ситец детский шириной 95 см с изображением на ткани — котенок, облака, полумесяц, радуга; цветовая гамма: бледно-розовая, голубая, салатовая, серо-бежевая.	
K284U8	Бязь детская «Самолеты»	1	5100	25	2	1	1	3	2	Бязь детская «Самолеты» шириной 150 см с изображением на ткани — игрушки, самолетики; цветовая гамма: белая, зеленая, синяя. 	
N387I8	Полотно вафельное «Кухня»	1	1000	15	1	2	3	3	5	Полотно вафельное «Кухня» шириной 50 см с изображением на ткани — кухня; цветовая гамма: желтая, малина. 	
I483H3	Ткань поплин «Вивьен»	1	11300	10	1	2	2	2	5	Ткань поплин «Вивьен» шириной 220 см с изображением на ткани — горошек; цветовая гамма: синяя, фисташка.	
